+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----+-------+------+
|                                                                                                       description                                                                                                        | day | month | year |
| Jaywalking took place at 08:07. One person witnessed the incident.                                                                                                                                                       | 5   | 3     | 2021 |
| Forgery took place at 06:31. Two people witnessed the event.                                                                                                                                                             | 5   | 3     | 2021 |
| Burglary took place at 20:14. Two people witnessed the event.                                                                                                                                                            | 8   | 3     | 2021 |
| Burglary took place at 23:15. No known witnesses.                                                                                                                                                                        | 8   | 3     | 2021 |
| Theft took place at 14:39. No known witnesses.                                                                                                                                                                           | 10  | 3     | 2021 |
| Littering took place at 16:46. Two people witnessed the event.                                                                                                                                                           | 10  | 3     | 2021 |
| Jaywalking took place at 11:51. Two people witnessed the event.                                                                                                                                                          | 11  | 3     | 2021 |
| Vandalism took place at 14:47. One person witnessed the incident.                                                                                                                                                        | 11  | 3     | 2021 |
| Theft took place at 18:55. One person witnessed the incident.                                                                                                                                                            | 12  | 3     | 2021 |
| Theft took place at 09:36. Two people witnessed the event.                                                                                                                                                               | 13  | 3     | 2021 |
| Wire fraud took place at 15:08. No known witnesses.                                                                                                                                                                      | 14  | 3     | 2021 |
| Bank robbery took place at 12:38. One person witnessed the incident.                                                                                                                                                     | 15  | 3     | 2021 |
| Insider trading took place at 23:10. Two people witnessed the event.                                                                                                                                                     | 16  | 3     | 2021 |
| Jaywalking took place at 20:07. Two people witnessed the event.                                                                                                                                                          | 16  | 3     | 2021 |
| Jaywalking took place at 01:49. Two people witnessed the event.                                                                                                                                                          | 16  | 3     | 2021 |
| Bank robbery took place at 22:39. One person witnessed the incident.                                                                                                                                                     | 17  | 3     | 2021 |
| Jaywalking took place at 09:21. Two people witnessed the event.                                                                                                                                                          | 18  | 3     | 2021 |
| Littering took place at 02:17. No known witnesses.                                                                                                                                                                       | 18  | 3     | 2021 |
| Credit card fraud took place at 23:37. One person witnessed the incident.                                                                                                                                                | 20  | 3     | 2021 |
| Vandalism took place at 08:39. No known witnesses.                                                                                                                                                                       | 20  | 3     | 2021 |
| Credit card fraud took place at 08:41. One person witnessed the incident.                                                                                                                                                | 20  | 3     | 2021 |
| Theft took place at 12:14. No known witnesses.                                                                                                                                                                           | 21  | 3     | 2021 |
| Expired parking meter took place at 22:17. No known witnesses.                                                                                                                                                           | 22  | 3     | 2021 |
| Money laundering took place at 13:05. No known witnesses.                                                                                                                                                                | 23  | 3     | 2021 |
| Littering took place at 05:09. One person witnessed the incident.                                                                                                                                                        | 23  | 3     | 2021 |
| Burglary took place at 02:13. No known witnesses.                                                                                                                                                                        | 24  | 3     | 2021 |
| Jaywalking took place at 13:18. No known witnesses.                                                                                                                                                                      | 24  | 3     | 2021 |
| Burglary took place at 07:21. One person witnessed the incident.                                                                                                                                                         | 25  | 3     | 2021 |
| Theft took place at 23:17. No known witnesses.                                                                                                                                                                           | 25  | 3     | 2021 |
| Burglary took place at 09:25. No known witnesses.                                                                                                                                                                        | 27  | 3     | 2021 |
| Burglary took place at 09:19. No known witnesses.                                                                                                                                                                        | 28  | 3     | 2021 |
| Theft took place at 01:06. No known witnesses.                                                                                                                                                                           | 1   | 4     | 2021 |
| Credit card fraud took place at 08:24. One person witnessed the incident.                                                                                                                                                | 2   | 4     | 2021 |
| Jaywalking took place at 03:54. No known witnesses.                                                                                                                                                                      | 3   | 4     | 2021 |
| Money laundering took place at 10:24. Two people witnessed the event.                                                                                                                                                    | 3   | 4     | 2021 |
| Expired parking meter took place at 03:17. Two people witnessed the event.                                                                                                                                               | 4   | 4     | 2021 |
| Vandalism took place at 21:22. One person witnessed the incident.                                                                                                                                                        | 4   | 4     | 2021 |
| Vandalism took place at 11:49. No known witnesses.                                                                                                                                                                       | 6   | 4     | 2021 |
| Burglary took place at 08:27. Two people witnessed the event.                                                                                                                                                            | 12  | 4     | 2021 |
| Credit card fraud took place at 18:03. Two people witnessed the event.                                                                                                                                                   | 12  | 4     | 2021 |
| Insider trading took place at 01:41. One person witnessed the incident.                                                                                                                                                  | 13  | 4     | 2021 |
| Insider trading took place at 04:28. Two people witnessed the event.                                                                                                                                                     | 13  | 4     | 2021 |
| Money laundering took place at 02:27. Two people witnessed the event.                                                                                                                                                    | 14  | 4     | 2021 |
| Littering took place at 21:47. Two people witnessed the event.                                                                                                                                                           | 14  | 4     | 2021 |
| Insider trading took place at 12:58. No known witnesses.                                                                                                                                                                 | 17  | 4     | 2021 |
| Expired parking meter took place at 13:25. One person witnessed the incident.                                                                                                                                            | 19  | 4     | 2021 |
| Expired parking meter took place at 11:05. One person witnessed the incident.                                                                                                                                            | 20  | 4     | 2021 |
| Burglary took place at 10:14. No known witnesses.                                                                                                                                                                        | 20  | 4     | 2021 |
| Forgery took place at 04:54. One person witnessed the incident.                                                                                                                                                          | 21  | 4     | 2021 |
| Reckless driving took place at 15:51. One person witnessed the incident.                                                                                                                                                 | 22  | 4     | 2021 |
| Bank robbery took place at 07:40. One person witnessed the incident.                                                                                                                                                     | 24  | 4     | 2021 |
| Bank robbery took place at 00:13. Two people witnessed the event.                                                                                                                                                        | 24  | 4     | 2021 |
| Reckless driving took place at 15:56. Two people witnessed the event.                                                                                                                                                    | 26  | 4     | 2021 |
| Bank robbery took place at 17:43. One person witnessed the incident.                                                                                                                                                     | 27  | 4     | 2021 |
| Insider trading took place at 23:06. No known witnesses.                                                                                                                                                                 | 27  | 4     | 2021 |
| Shoplifting took place at 16:40. No known witnesses.                                                                                                                                                                     | 27  | 4     | 2021 |
| Forgery took place at 08:13. One person witnessed the incident.                                                                                                                                                          | 28  | 4     | 2021 |
| Jaywalking took place at 23:21. One person witnessed the incident.                                                                                                                                                       | 1   | 5     | 2021 |
| Reckless driving took place at 03:03. No known witnesses.                                                                                                                                                                | 1   | 5     | 2021 |
| Shoplifting took place at 04:38. Two people witnessed the event.                                                                                                                                                         | 1   | 5     | 2021 |
| Expired parking meter took place at 06:13. No known witnesses.                                                                                                                                                           | 2   | 5     | 2021 |
| Expired parking meter took place at 01:42. No known witnesses.                                                                                                                                                           | 3   | 5     | 2021 |
| Theft took place at 06:38. Two people witnessed the event.                                                                                                                                                               | 3   | 5     | 2021 |
| Reckless driving took place at 20:00. No known witnesses.                                                                                                                                                                | 5   | 5     | 2021 |
| Jaywalking took place at 06:52. Two people witnessed the event.                                                                                                                                                          | 6   | 5     | 2021 |
| Credit card fraud took place at 05:46. No known witnesses.                                                                                                                                                               | 7   | 5     | 2021 |
| Vandalism took place at 13:08. No known witnesses.                                                                                                                                                                       | 8   | 5     | 2021 |
| Littering took place at 15:40. No known witnesses.                                                                                                                                                                       | 9   | 5     | 2021 |
| Expired parking meter took place at 08:03. No known witnesses.                                                                                                                                                           | 9   | 5     | 2021 |
| Vandalism took place at 12:37. One person witnessed the incident.                                                                                                                                                        | 10  | 5     | 2021 |
| Money laundering took place at 18:24. No known witnesses.                                                                                                                                                                | 10  | 5     | 2021 |
| Reckless driving took place at 05:43. One person witnessed the incident.                                                                                                                                                 | 11  | 5     | 2021 |
| Shoplifting took place at 04:15. No known witnesses.                                                                                                                                                                     | 12  | 5     | 2021 |
| Reckless driving took place at 11:29. One person witnessed the incident.                                                                                                                                                 | 13  | 5     | 2021 |
| Reckless driving took place at 07:46. Two people witnessed the event.                                                                                                                                                    | 13  | 5     | 2021 |
| Credit card fraud took place at 21:14. Two people witnessed the event.                                                                                                                                                   | 14  | 5     | 2021 |
| Jaywalking took place at 21:07. No known witnesses.                                                                                                                                                                      | 14  | 5     | 2021 |
| Forgery took place at 15:22. One person witnessed the incident.                                                                                                                                                          | 16  | 5     | 2021 |
| Expired parking meter took place at 12:04. Two people witnessed the event.                                                                                                                                               | 16  | 5     | 2021 |
| Insider trading took place at 01:40. No known witnesses.                                                                                                                                                                 | 17  | 5     | 2021 |
| Jaywalking took place at 08:03. Two people witnessed the event.                                                                                                                                                          | 17  | 5     | 2021 |
| Vandalism took place at 15:17. Two people witnessed the event.                                                                                                                                                           | 17  | 5     | 2021 |
| Wire fraud took place at 13:56. One person witnessed the incident.                                                                                                                                                       | 19  | 5     | 2021 |
| Credit card fraud took place at 07:59. Two people witnessed the event.                                                                                                                                                   | 20  | 5     | 2021 |
| Insider trading took place at 06:41. One person witnessed the incident.                                                                                                                                                  | 20  | 5     | 2021 |
| Shoplifting took place at 17:39. Two people witnessed the event.                                                                                                                                                         | 21  | 5     | 2021 |
| Jaywalking took place at 09:14. One person witnessed the incident.                                                                                                                                                       | 22  | 5     | 2021 |
| Burglary took place at 01:54. Two people witnessed the event.                                                                                                                                                            | 22  | 5     | 2021 |
| Bank robbery took place at 18:53. Two people witnessed the event.                                                                                                                                                        | 22  | 5     | 2021 |
| Theft took place at 10:46. One person witnessed the incident.                                                                                                                                                            | 23  | 5     | 2021 |
| Littering took place at 11:32. One person witnessed the incident.                                                                                                                                                        | 24  | 5     | 2021 |
| Burglary took place at 19:01. No known witnesses.                                                                                                                                                                        | 24  | 5     | 2021 |
| Shoplifting took place at 06:55. Two people witnessed the event.                                                                                                                                                         | 27  | 5     | 2021 |
| Insider trading took place at 14:36. One person witnessed the incident.                                                                                                                                                  | 27  | 5     | 2021 |
| Theft took place at 23:50. No known witnesses.                                                                                                                                                                           | 28  | 5     | 2021 |
| Theft took place at 22:40. One person witnessed the incident.                                                                                                                                                            | 28  | 5     | 2021 |
| Theft took place at 10:02. No known witnesses.                                                                                                                                                                           | 28  | 5     | 2021 |
| Littering took place at 13:27. Two people witnessed the event.                                                                                                                                                           | 1   | 6     | 2021 |
| Wire fraud took place at 17:10. One person witnessed the incident.                                                                                                                                                       | 1   | 6     | 2021 |
| Theft took place at 15:04. One person witnessed the incident.                                                                                                                                                            | 1   | 6     | 2021 |
| Vandalism took place at 20:09. No known witnesses.                                                                                                                                                                       | 1   | 6     | 2021 |
| Money laundering took place at 06:41. One person witnessed the incident.                                                                                                                                                 | 1   | 6     | 2021 |
| Reckless driving took place at 14:28. No known witnesses.                                                                                                                                                                | 2   | 6     | 2021 |
| Burglary took place at 20:26. No known witnesses.                                                                                                                                                                        | 4   | 6     | 2021 |
| Reckless driving took place at 07:33. One person witnessed the incident.                                                                                                                                                 | 5   | 6     | 2021 |
| Insider trading took place at 02:14. Two people witnessed the event.                                                                                                                                                     | 5   | 6     | 2021 |
| Littering took place at 05:40. No known witnesses.                                                                                                                                                                       | 5   | 6     | 2021 |
| Reckless driving took place at 23:18. No known witnesses.                                                                                                                                                                | 5   | 6     | 2021 |
| Burglary took place at 01:31. No known witnesses.                                                                                                                                                                        | 6   | 6     | 2021 |
| Forgery took place at 07:27. No known witnesses.                                                                                                                                                                         | 8   | 6     | 2021 |
| Insider trading took place at 00:18. Two people witnessed the event.                                                                                                                                                     | 8   | 6     | 2021 |
| Jaywalking took place at 01:39. Two people witnessed the event.                                                                                                                                                          | 8   | 6     | 2021 |
| Vandalism took place at 08:25. One person witnessed the incident.                                                                                                                                                        | 9   | 6     | 2021 |
| Shoplifting took place at 01:48. One person witnessed the incident.                                                                                                                                                      | 11  | 6     | 2021 |
| Littering took place at 18:16. Two people witnessed the event.                                                                                                                                                           | 11  | 6     | 2021 |
| Reckless driving took place at 18:32. No known witnesses.                                                                                                                                                                | 12  | 6     | 2021 |
| Credit card fraud took place at 04:31. No known witnesses.                                                                                                                                                               | 12  | 6     | 2021 |
| Reckless driving took place at 09:34. One person witnessed the incident.                                                                                                                                                 | 13  | 6     | 2021 |
| Reckless driving took place at 09:00. No known witnesses.                                                                                                                                                                | 13  | 6     | 2021 |
| Credit card fraud took place at 14:17. Two people witnessed the event.                                                                                                                                                   | 14  | 6     | 2021 |
| Shoplifting took place at 17:05. Two people witnessed the event.                                                                                                                                                         | 14  | 6     | 2021 |
| Littering took place at 18:33. Two people witnessed the event.                                                                                                                                                           | 16  | 6     | 2021 |
| Jaywalking took place at 14:08. Two people witnessed the event.                                                                                                                                                          | 16  | 6     | 2021 |
| Credit card fraud took place at 16:09. Two people witnessed the event.                                                                                                                                                   | 16  | 6     | 2021 |
| Shoplifting took place at 03:02. One person witnessed the incident.                                                                                                                                                      | 18  | 6     | 2021 |
| Expired parking meter took place at 14:03. No known witnesses.                                                                                                                                                           | 18  | 6     | 2021 |
| Wire fraud took place at 02:57. No known witnesses.                                                                                                                                                                      | 19  | 6     | 2021 |
| Forgery took place at 09:37. No known witnesses.                                                                                                                                                                         | 19  | 6     | 2021 |
| Vandalism took place at 22:08. Two people witnessed the event.                                                                                                                                                           | 20  | 6     | 2021 |
| Shoplifting took place at 21:01. Two people witnessed the event.                                                                                                                                                         | 20  | 6     | 2021 |
| Credit card fraud took place at 05:16. No known witnesses.                                                                                                                                                               | 20  | 6     | 2021 |
| Burglary took place at 09:09. No known witnesses.                                                                                                                                                                        | 20  | 6     | 2021 |
| Bank robbery took place at 23:14. One person witnessed the incident.                                                                                                                                                     | 20  | 6     | 2021 |
| Expired parking meter took place at 14:06. No known witnesses.                                                                                                                                                           | 20  | 6     | 2021 |
| Money laundering took place at 00:25. No known witnesses.                                                                                                                                                                | 21  | 6     | 2021 |
| Forgery took place at 08:14. No known witnesses.                                                                                                                                                                         | 22  | 6     | 2021 |
| Bank robbery took place at 01:09. One person witnessed the incident.                                                                                                                                                     | 22  | 6     | 2021 |
| Wire fraud took place at 18:41. Two people witnessed the event.                                                                                                                                                          | 22  | 6     | 2021 |
| Burglary took place at 23:48. No known witnesses.                                                                                                                                                                        | 22  | 6     | 2021 |
| Littering took place at 17:48. Two people witnessed the event.                                                                                                                                                           | 23  | 6     | 2021 |
| Reckless driving took place at 20:55. Two people witnessed the event.                                                                                                                                                    | 24  | 6     | 2021 |
| Burglary took place at 20:25. No known witnesses.                                                                                                                                                                        | 25  | 6     | 2021 |
| Shoplifting took place at 19:17. No known witnesses.                                                                                                                                                                     | 25  | 6     | 2021 |
| Reckless driving took place at 01:45. Two people witnessed the event.                                                                                                                                                    | 26  | 6     | 2021 |
| Jaywalking took place at 17:02. One person witnessed the incident.                                                                                                                                                       | 26  | 6     | 2021 |
| Vandalism took place at 06:37. No known witnesses.                                                                                                                                                                       | 27  | 6     | 2021 |
| Vandalism took place at 09:45. One person witnessed the incident.                                                                                                                                                        | 28  | 6     | 2021 |
| Expired parking meter took place at 13:44. One person witnessed the incident.                                                                                                                                            | 28  | 6     | 2021 |
| Vandalism took place at 18:46. Two people witnessed the event.                                                                                                                                                           | 1   | 7     | 2021 |
| Insider trading took place at 15:44. One person witnessed the incident.                                                                                                                                                  | 1   | 7     | 2021 |
| Wire fraud took place at 07:41. Two people witnessed the event.                                                                                                                                                          | 1   | 7     | 2021 |
| Shoplifting took place at 12:04. Two people witnessed the event.                                                                                                                                                         | 1   | 7     | 2021 |
| Bank robbery took place at 04:36. Two people witnessed the event.                                                                                                                                                        | 2   | 7     | 2021 |
| Credit card fraud took place at 10:54. Two people witnessed the event.                                                                                                                                                   | 2   | 7     | 2021 |
| Credit card fraud took place at 02:10. Two people witnessed the event.                                                                                                                                                   | 3   | 7     | 2021 |
| Bank robbery took place at 15:10. No known witnesses.                                                                                                                                                                    | 3   | 7     | 2021 |
| Expired parking meter took place at 11:46. No known witnesses.                                                                                                                                                           | 4   | 7     | 2021 |
| Theft took place at 17:00. Two people witnessed the event.                                                                                                                                                               | 4   | 7     | 2021 |
| Jaywalking took place at 18:14. Two people witnessed the event.                                                                                                                                                          | 4   | 7     | 2021 |
| Forgery took place at 19:46. No known witnesses.                                                                                                                                                                         | 4   | 7     | 2021 |
| Bank robbery took place at 01:34. No known witnesses.                                                                                                                                                                    | 5   | 7     | 2021 |
| Shoplifting took place at 04:45. Two people witnessed the event.                                                                                                                                                         | 6   | 7     | 2021 |
| Bank robbery took place at 06:30. Two people witnessed the event.                                                                                                                                                        | 6   | 7     | 2021 |
| Vandalism took place at 14:48. No known witnesses.                                                                                                                                                                       | 8   | 7     | 2021 |
| Insider trading took place at 22:18. No known witnesses.                                                                                                                                                                 | 8   | 7     | 2021 |
| Jaywalking took place at 10:35. One person witnessed the incident.                                                                                                                                                       | 8   | 7     | 2021 |
| Theft took place at 01:44. One person witnessed the incident.                                                                                                                                                            | 8   | 7     | 2021 |
| Vandalism took place at 09:20. Two people witnessed the event.                                                                                                                                                           | 10  | 7     | 2021 |
| Insider trading took place at 01:07. One person witnessed the incident.                                                                                                                                                  | 10  | 7     | 2021 |
| Expired parking meter took place at 10:04. No known witnesses.                                                                                                                                                           | 10  | 7     | 2021 |
| Reckless driving took place at 20:43. Two people witnessed the event.                                                                                                                                                    | 10  | 7     | 2021 |
| Wire fraud took place at 14:36. Two people witnessed the event.                                                                                                                                                          | 10  | 7     | 2021 |
| Littering took place at 08:31. No known witnesses.                                                                                                                                                                       | 12  | 7     | 2021 |
| Jaywalking took place at 13:33. No known witnesses.                                                                                                                                                                      | 13  | 7     | 2021 |
| Jaywalking took place at 07:51. Two people witnessed the event.                                                                                                                                                          | 13  | 7     | 2021 |
| Wire fraud took place at 10:20. No known witnesses.                                                                                                                                                                      | 14  | 7     | 2021 |
| Burglary took place at 07:18. One person witnessed the incident.                                                                                                                                                         | 15  | 7     | 2021 |
| Jaywalking took place at 07:03. One person witnessed the incident.                                                                                                                                                       | 15  | 7     | 2021 |
| Reckless driving took place at 20:31. One person witnessed the incident.                                                                                                                                                 | 16  | 7     | 2021 |
| Credit card fraud took place at 10:46. Two people witnessed the event.                                                                                                                                                   | 16  | 7     | 2021 |
| Burglary took place at 11:43. Two people witnessed the event.                                                                                                                                                            | 17  | 7     | 2021 |
| Expired parking meter took place at 15:55. No known witnesses.                                                                                                                                                           | 17  | 7     | 2021 |
| Wire fraud took place at 17:16. No known witnesses.                                                                                                                                                                      | 17  | 7     | 2021 |
| Vandalism took place at 21:09. No known witnesses.                                                                                                                                                                       | 18  | 7     | 2021 |
| Bank robbery took place at 22:33. Two people witnessed the event.                                                                                                                                                        | 18  | 7     | 2021 |
| Theft took place at 21:21. One person witnessed the incident.                                                                                                                                                            | 19  | 7     | 2021 |
| Expired parking meter took place at 19:39. Two people witnessed the event.                                                                                                                                               | 19  | 7     | 2021 |
| Burglary took place at 21:54. One person witnessed the incident.                                                                                                                                                         | 21  | 7     | 2021 |
| Expired parking meter took place at 14:59. One person witnessed the incident.                                                                                                                                            | 21  | 7     | 2021 |
| Bank robbery took place at 07:16. One person witnessed the incident.                                                                                                                                                     | 22  | 7     | 2021 |
| Insider trading took place at 18:58. No known witnesses.                                                                                                                                                                 | 22  | 7     | 2021 |
| Burglary took place at 12:03. No known witnesses.                                                                                                                                                                        | 23  | 7     | 2021 |
| Money laundering took place at 10:30. One person witnessed the incident.                                                                                                                                                 | 23  | 7     | 2021 |
